ID_Pedido,Data_Pedido,Nome_Jogo,Categoria,Empresa,Plataforma,Preco_Unitario,Quantidade,ID_Cliente,Edicao_especial
1000,2026-01-01 09:00:00,Injustice 2,herois,NetherRealm,Xbox,228.9,2,136,True
1001,2026-01-01 10:00:00,Mortal Kombat 1,violento,NetherRealm,Xbox,249.9,1,101,False
1002,2026-01-01 20:00:00,Tekken 7,3D,Namco,Playstation,245.41,1,126,True
1003,2026-01-01 06:00:00,Tekken 8,3D,Namco,Playstation,225.79,1,120,False
1004,2026-01-01 07:00:00,Tekken 7,3D,Namco,Xbox,245.41,2,137,True
1005,2026-01-02 00:00:00,Injustice Gods Among Us,herois,NetherRealm,Xbox,89.9,2,114,False
1006,2026-01-02 20:00:00,Injustice Gods Among Us,herois,NetherRealm,PC,125.86,1,145,True
1007,2026-01-02 00:00:00,Street Fighter IV,arcade,Capcom,Xbox,69.5,2,130,False
1008,2026-01-02 06:00:00,Tekken 7,3D,Namco,Playstation,175.29,1,133,False
1009,2026-01-02 09:00:00,Mortal Kombat X,violento,NetherRealm,Xbox,139.86,2,111,True
1010,2026-01-03 02:00:00,Marvel vs Capcom Infinite,herois,Capcom,Playstation,199.99,2,126,False
1011,2026-01-03 02:00:00,Injustice Gods Among Us,herois,NetherRealm,PC,89.9,2,139,False
1012,2026-01-03 05:00:00,Mortal Kombat X,violento,NetherRealm,Xbox,99.9,2,137,False
1013,2026-01-03 02:00:00,Injustice 2,herois,NetherRealm,Xbox,228.9,2,141,True
1014,2026-01-03 07:00:00,Injustice 2,herois,NetherRealm,Playstation,163.5,1,120,False
1015,2026-01-04 14:00:00,Street Fighter VI,arcade,Capcom,Xbox,321.86,2,115,True
1016,2026-01-04 13:00:00,Mortal Kombat 11,violento,NetherRealm,Xbox,279.86,2,138,True
1017,2026-01-04 22:00:00,Mortal Kombat 1,violento,NetherRealm,Xbox,349.86,2,112,True
1018,2026-01-04 23:00:00,Street Fighter IV,arcade,Capcom,Playstation,69.5,2,103,False
1019,2026-01-04 17:00:00,Street Fighter V,arcade,Capcom,PC,181.58,1,102,True
1020,2026-01-05 12:00:00,Mortal Kombat X,violento,NetherRealm,PC,139.86,2,121,True
1021,2026-01-05 09:00:00,Street Fighter VI,arcade,Capcom,Playstation,321.86,2,110,True
1022,2026-01-05 16:00:00,Mortal Kombat X,violento,NetherRealm,Xbox,99.9,2,146,False
1023,2026-01-05 23:00:00,Injustice Gods Among Us,herois,NetherRealm,PC,89.9,1,113,False
1024,2026-01-05 18:00:00,Mortal Kombat 11,violento,NetherRealm,Xbox,199.9,1,106,False
1025,2026-01-06 03:00:00,Street Fighter IV,arcade,Capcom,Xbox,69.5,2,125,False
1026,2026-01-06 11:00:00,Street Fighter VI,arcade,Capcom,Xbox,229.9,2,102,False
1027,2026-01-06 08:00:00,Street Fighter V,arcade,Capcom,Xbox,129.7,1,124,False
1028,2026-01-06 07:00:00,Tekken 7,3D,Namco,Playstation,175.29,2,105,False
1029,2026-01-06 02:00:00,Street Fighter IV,arcade,Capcom,PC,97.3,2,110,True
1030,2026-01-07 05:00:00,Street Fighter IV,arcade,Capcom,PC,97.3,1,145,True
1031,2026-01-07 10:00:00,Injustice 2,herois,NetherRealm,PC,228.9,2,105,True
1032,2026-01-07 23:00:00,Tekken 8,3D,Namco,Xbox,316.11,1,129,True
1033,2026-01-07 22:00:00,Injustice Gods Among Us,herois,NetherRealm,Playstation,89.9,2,129,False
1034,2026-01-07 02:00:00,Injustice Gods Among Us,herois,NetherRealm,Playstation,89.9,2,113,False
1035,2026-01-08 15:00:00,Mortal Kombat 1,violento,NetherRealm,Playstation,349.86,1,114,True
1036,2026-01-08 16:00:00,Tekken 8,3D,Namco,PC,316.11,1,107,True
1037,2026-01-08 22:00:00,Mortal Kombat 11,violento,NetherRealm,PC,199.9,2,132,False
1038,2026-01-08 05:00:00,Street Fighter IV,arcade,Capcom,Xbox,97.3,2,141,True
1039,2026-01-08 17:00:00,Mortal Kombat 11,violento,NetherRealm,Playstation,199.9,1,105,False
1040,2026-01-09 17:00:00,Tekken 7,3D,Namco,Xbox,245.41,1,114,True
1041,2026-01-09 01:00:00,Street Fighter IV,arcade,Capcom,Playstation,69.5,1,141,False
1042,2026-01-09 20:00:00,Marvel vs Capcom 3,herois,Capcom,Xbox,99.99,1,121,False
1043,2026-01-09 23:00:00,Marvel vs Capcom 3,herois,Capcom,Playstation,99.99,1,124,False
1044,2026-01-09 10:00:00,Mortal Kombat X,violento,NetherRealm,PC,99.9,2,131,False
1045,2026-01-10 09:00:00,Tekken 8,3D,Namco,PC,316.11,1,106,True
1046,2026-01-10 12:00:00,Marvel vs Capcom 3,herois,Capcom,Xbox,139.99,2,108,True
1047,2026-01-10 00:00:00,Mortal Kombat 1,violento,NetherRealm,PC,349.86,2,102,True
1048,2026-01-10 05:00:00,Street Fighter VI,arcade,Capcom,Xbox,229.9,2,133,False
1049,2026-01-10 10:00:00,Mortal Kombat 11,violento,NetherRealm,Playstation,199.9,1,121,False
1050,2026-01-11 04:00:00,Mortal Kombat X,violento,NetherRealm,Playstation,139.86,2,132,True
1051,2026-01-11 12:00:00,Marvel vs Capcom Infinite,herois,Capcom,Playstation,199.99,2,132,False
1052,2026-01-11 14:00:00,Marvel vs Capcom Infinite,herois,Capcom,Playstation,279.99,2,125,True
1053,2026-01-11 13:00:00,Tekken 8,3D,Namco,PC,316.11,1,141,True
1054,2026-01-11 11:00:00,Mortal Kombat 1,violento,NetherRealm,Xbox,249.9,1,118,False
1055,2026-01-12 22:00:00,Street Fighter VI,arcade,Capcom,PC,321.86,2,148,True
1056,2026-01-12 11:00:00,Street Fighter V,arcade,Capcom,Xbox,129.7,1,121,False
