Author,Price
Abraham Verghese,11.0
Adam Gasiewski,6.0
Adam Mansbach,9.0
Adir Levy,13.0
Admiral William H. McRaven,11.0
Adult Coloring Book Designs,4.0
Alan Moore,42.0
Alex Michaelides,14.0
Alice Schertle,0.0
Allie Brosh,17.0
American Psychiatric Association,105.0
American Psychological Association,46.0
Amor Towles,15.0
Amy Ramos,6.0
Amy Shields,11.0
Andy Weir,9.0
Angie Grace,11.0
Angie Thomas,11.0
Ann Voskamp,13.0
Ann Whitford Paul,4.0
Anthony Bourdain,8.0
Anthony Doerr,14.0
Atul Gawande,15.0
Audrey Niffenegger,6.0
B. J. Novak,8.0
Bessel van der Kolk M.D.,12.0
Bill Martin Jr.,5.0
Bill O'Reilly,10.571428571428571
Bill Simmons,53.0
Blue Star Coloring,6.0
Bob Woodward,2.0
Brandon Stanton,15.666666666666666
Brené Brown,10.0
Brian Kilmeade,16.0
Bruce Springsteen,18.0
Carol S. Dweck,10.0
Celeste Ng,12.0
Charlaine Harris,10.25
Charles Duhigg,21.0
Charles Krauthammer,15.0
Cheryl Strayed,18.0
Chip Gaines,5.0
Chip Heath,13.0
Chris Cleave,10.0
Chris Kyle,9.0
Chrissy Teigen,16.0
Christina Baker Kline,11.0
Christopher Paolini,20.0
Coloring Books for Adults,8.0
Craig Smith,4.0
Crispin Boyer,16.0
DK,5.0
Dale Carnegie,11.0
Dan Brown,15.333333333333334
Daniel H. Pink,16.0
Daniel James Brown,12.0
Daniel Kahneman,19.0
Daniel Lipkowitz,13.0
Dav Pilkey,6.285714285714286
Dave Ramsey,10.0
David Goggins,18.0
David Grann,17.0
David McCullough,16.0
David Perlmutter MD,10.0
David Platt,9.0
David Zinczenko,7.5
Deborah Diesen,5.0
Delegates of the Constitutional,0.0
Delia Owens,15.0
Dinah Bucholz,10.0
Don Miguel Ruiz,6.0
Donna Tartt,20.0
Doug Lemov,20.0
Dr. Seuss,8.666666666666666
Dr. Steven R Gundry MD,17.5
Drew Daywalt,9.0
E L James,15.333333333333334
Eben Alexander,10.0
Edward Klein,9.0
Edward M. Kennedy,15.0
Elie Wiesel,9.0
Elizabeth Strout,12.0
Emily Winfield Martin,10.0
Eric Carle,5.0
Eric Larson,21.0
Ernest Cline,12.0
F. A. Hayek,14.0
F. Scott Fitzgerald,7.0
Francis Chan,14.0
Fredrik Backman,8.0
Gallup,17.0
Garth Stein,10.0
Gary Chapman,17.181818181818183
Gayle Forman,9.0
Geneen Roth,11.0
George Orwell,6.0
George R. R. Martin,20.5
George R.R. Martin,5.0
George W. Bush,17.0
Giles Andreae,4.0
Gillian Flynn,9.666666666666666
Glenn Beck,8.0
Golden Books,4.0
Greg Mortenson,11.0
Harper Lee,4.333333333333333
Heidi Murkoff,9.0
Hillary Rodham Clinton,18.0
Hopscotch Girls,7.0
Howard Stern,16.0
Ian K. Smith M.D.,6.0
Ina Garten,21.666666666666668
J. D. Vance,14.0
J. K. Rowling,35.0
J.K. Rowling,20.166666666666668
JJ Smith,8.0
James Comey,3.0
James Dashner,8.0
James Patterson,12.5
Jay Asher,9.0
Jaycee Dugard,32.0
Jeff Kinney,9.25
Jen Sincero,8.0
Jennifer Smith,13.0
Jill Twiss,13.0
Jim Collins,14.0
Joanna Gaines,19.0
Joel Fuhrman MD,9.0
Johanna Basford,9.0
John Green,10.6
John Grisham,16.2
John Heilemann,9.0
Jon Meacham,23.0
Jon Stewart,11.0
Jonathan Cahn,13.0
Jordan B. Peterson,15.0
Julia Child,27.0
Justin Halpern,11.0
Kathryn Stockett,6.75
Keith Richards,18.0
Ken Follett,15.0
Kevin Kwan,8.0
Khaled Hosseini,13.0
Kristin Hannah,11.0
Larry Schweikart,2.0
Laura Hillenbrand,15.4
Laurel Randolph,7.0
Lin-Manuel Miranda,54.0
Lysa TerKeurst,10.5
M Prefontaine,5.0
Madeleine L'Engle,5.0
Malcolm Gladwell,15.5
Margaret Atwood,7.0
Margaret Wise Brown,5.0
Marie Kondō,11.0
Marjorie Sarnat,4.5
Mark Hyman M.D.,14.0
Mark Manson,15.0
Mark Owen,14.0
Mark R. Levin,13.0
Mark Twain,14.0
Markus Zusak,6.0
Marty Noble,5.0
Mary Ann Shaffer,10.0
Maurice Sendak,13.0
Melissa Hartwig Urban,16.0
Michael Lewis,17.0
Michael Pollan,9.0
Michael Wolff,6.0
Michelle Obama,11.0
Mike Moreno,22.0
Mitch Albom,4.0
Muriel Barbery,11.0
Naomi Kleinberg,5.0
Nathan W. Pyle,6.0
National Geographic Kids,12.0
Neil deGrasse Tyson,9.0
Paper Peony Press,6.0
Patrick Lencioni,6.0
Patrick Thorpe,20.0
Paul Kalanithi,14.0
Paula Hawkins,12.5
Paula McLain,16.0
Paulo Coelho,39.0
Pete Souza,22.0
Peter A. Lillback,20.0
Phil Robertson,11.0
Pierre Dukan,15.0
Pretty Simple Press,6.0
R. J. Palacio,9.0
RH Disney,0.0
Rachel Hollis,12.0
Raina Telgemeier,7.0
Randall Munroe,17.0
Randy Pausch,9.0
Ray Bradbury,8.0
Rebecca Skloot,10.333333333333334
Ree Drummond,17.333333333333332
Rick Riordan,9.909090909090908
Rob Bell,13.0
Rob Elliott,4.0
Robert Jordan,21.0
Robert Munsch,5.0
Rod Campbell,5.0
Roger Priddy,4.0
Ron Chernow,13.0
Rupi Kaur,8.25
Rush Limbaugh,12.0
Samin Nosrat,20.0
Sandra Boynton,5.0
Sara Gruen,12.0
Sarah Palin,6.0
Sarah Young,8.0
Sasha O'Hara,4.0
Scholastic,9.0
School Zone,6.0
Sherri Duskey Rinker,7.0
Sheryl Sandberg,11.0
Silly Bear,4.0
Stephen Kendrick,13.0
Stephen King,16.75
Stephen R. Covey,20.571428571428573
Stephenie Meyer,19.857142857142858
Steve Harvey,17.0
Steven D. Levitt,18.0
Stieg Larsson,9.5
Susan Cain,13.5
Suzanne Collins,13.363636363636363
Ta-Nehisi Coates,13.0
