Author,Rating
Abraham Verghese,4.6
Adam Gasiewski,4.4
Adam Mansbach,4.8
Adir Levy,4.8
Admiral William H. McRaven,4.7
Adult Coloring Book Designs,4.5
Alan Moore,4.8
Alex Michaelides,4.5
Alice Schertle,4.9
Allie Brosh,4.7
American Psychiatric Association,4.5
American Psychological Association,4.5
Amor Towles,4.7
Amy Ramos,4.3
Amy Shields,4.8
Andy Weir,4.7
Angie Grace,4.6
Angie Thomas,4.8
Ann Voskamp,4.6
Ann Whitford Paul,4.8
Anthony Bourdain,4.8
Anthony Doerr,4.6
Atul Gawande,4.8
Audrey Niffenegger,4.4
B. J. Novak,4.8
Bessel van der Kolk M.D.,4.8
Bill Martin Jr.,4.9
Bill O'Reilly,4.642857142857143
Bill Simmons,4.7
Blue Star Coloring,4.5
Bob Woodward,4.4
Brandon Stanton,4.833333333333333
Brené Brown,4.8
Brian Kilmeade,4.6
Bruce Springsteen,4.7
Carol S. Dweck,4.6
Celeste Ng,4.5
Charlaine Harris,4.45
Charles Duhigg,4.6
Charles Krauthammer,4.7
Cheryl Strayed,4.4
Chip Gaines,4.9
Chip Heath,4.6
Chris Cleave,4.1
Chris Kyle,4.6
Chrissy Teigen,4.7
Christina Baker Kline,4.6
Christopher Paolini,4.6
Coloring Books for Adults,4.5
Craig Smith,4.8
Crispin Boyer,4.8
DK,4.55
Dale Carnegie,4.7
Dan Brown,4.2
Daniel H. Pink,4.5
Daniel James Brown,4.8
Daniel Kahneman,4.6
Daniel Lipkowitz,4.4
Dav Pilkey,4.9
Dave Ramsey,4.7
David Goggins,4.8
David Grann,4.6
David McCullough,4.7
David Perlmutter MD,4.6
David Platt,4.7
David Zinczenko,4.4
Deborah Diesen,4.8
Delegates of the Constitutional,4.8
Delia Owens,4.8
Dinah Bucholz,4.7
Don Miguel Ruiz,4.7
Donna Tartt,3.9
Doug Lemov,4.4
Dr. Seuss,4.877777777777778
Dr. Steven R Gundry MD,4.45
Drew Daywalt,4.8
E L James,4.233333333333333
Eben Alexander,4.3
Edward Klein,4.6
Edward M. Kennedy,4.5
Elie Wiesel,4.7
Elizabeth Strout,4.2
Emily Winfield Martin,4.9
Eric Carle,4.9
Eric Larson,4.4
Ernest Cline,4.6
F. A. Hayek,4.6
F. Scott Fitzgerald,4.4
Francis Chan,4.7
Fredrik Backman,4.6
Gallup,4.0
Garth Stein,4.7
Gary Chapman,4.736363636363636
Gayle Forman,4.3
Geneen Roth,4.2
George Orwell,4.7
George R. R. Martin,4.550000000000001
George R.R. Martin,4.6
George W. Bush,4.6
Giles Andreae,4.8
Gillian Flynn,4.0
Glenn Beck,4.566666666666666
Golden Books,4.8
Greg Mortenson,4.3
Harper Lee,4.6
Heidi Murkoff,4.4
Hillary Rodham Clinton,4.6
Hopscotch Girls,4.8
Howard Stern,4.3
Ian K. Smith M.D.,4.1
Ina Garten,4.666666666666667
J. D. Vance,4.4
J. K. Rowling,4.85
J.K. Rowling,4.45
JJ Smith,4.7
James Comey,4.7
James Dashner,4.5
James Patterson,4.449999999999999
Jay Asher,4.5
Jaycee Dugard,4.6
Jeff Kinney,4.8
Jen Sincero,4.7
Jennifer Smith,4.4
Jill Twiss,4.9
Jim Collins,4.5
Joanna Gaines,4.8
Joel Fuhrman MD,4.5
Johanna Basford,4.7
John Green,4.66
John Grisham,4.4
John Heilemann,4.4
Jon Meacham,4.5
Jon Stewart,4.4
Jonathan Cahn,4.6
Jordan B. Peterson,4.7
Julia Child,4.8
Justin Halpern,4.7
Kathryn Stockett,4.8
Keith Richards,4.5
Ken Follett,4.5
Kevin Kwan,4.3
Khaled Hosseini,4.3
Kristin Hannah,4.8
Larry Schweikart,4.6
Laura Hillenbrand,4.8
Laurel Randolph,4.3
Lin-Manuel Miranda,4.9
Lysa TerKeurst,4.75
M Prefontaine,4.6
Madeleine L'Engle,4.5
Malcolm Gladwell,4.5
Margaret Atwood,4.3
Margaret Wise Brown,4.8
Marie Kondō,4.5
Marjorie Sarnat,4.8
Mark Hyman M.D.,4.2
Mark Manson,4.6
Mark Owen,4.6
Mark R. Levin,4.85
Mark Twain,4.2
Markus Zusak,4.6
Marty Noble,4.6
Mary Ann Shaffer,4.7
Maurice Sendak,4.8
Melissa Hartwig Urban,4.6
Michael Lewis,4.7
Michael Pollan,4.4
Michael Wolff,4.2
Michelle Obama,4.8
Mike Moreno,4.3
Mitch Albom,4.8
Muriel Barbery,4.0
Naomi Kleinberg,4.7
Nathan W. Pyle,4.9
National Geographic Kids,4.8
Neil deGrasse Tyson,4.7
Paper Peony Press,4.4
Patrick Lencioni,4.6
Patrick Thorpe,4.9
Paul Kalanithi,4.8
Paula Hawkins,4.1
Paula McLain,4.3
Paulo Coelho,4.7
Pete Souza,4.9
Peter A. Lillback,4.5
Phil Robertson,4.8
Pierre Dukan,4.1
Pretty Simple Press,4.6
R. J. Palacio,4.8
RH Disney,4.65
Rachel Hollis,4.6
Raina Telgemeier,4.8
Randall Munroe,4.7
Randy Pausch,4.7
Ray Bradbury,4.6
Rebecca Skloot,4.7
Ree Drummond,4.8
Rick Riordan,4.7727272727272725
Rob Bell,4.2
Rob Elliott,4.5625
Robert Jordan,4.8
Robert Munsch,4.8
Rod Campbell,4.8
Roger Priddy,4.7
Ron Chernow,4.8
Rupi Kaur,4.7
Rush Limbaugh,4.9
Samin Nosrat,4.8
Sandra Boynton,4.8
Sara Gruen,4.5
Sarah Palin,4.6
Sarah Young,4.9
Sasha O'Hara,4.6
Scholastic,4.7
School Zone,4.8
Sherri Duskey Rinker,4.9
Sheryl Sandberg,4.5
Silly Bear,4.8
Stephen Kendrick,4.8
Stephen King,4.525
Stephen R. Covey,4.642857142857143
Stephenie Meyer,4.6571428571428575
Steve Harvey,4.6
Steven D. Levitt,4.5
Stieg Larsson,4.6000000000000005
Susan Cain,4.6
Suzanne Collins,4.663636363636363
Ta-Nehisi Coates,4.7
Tara Westover,4.7
Tatiana de Rosnay,4.6
The College Board,4.383333333333334
The Staff of The Late Show with,4.6
The Washington Post,4.6
Thomas Campbell,4.7
Thomas Piketty,4.5
Thug Kitchen,4.6
Timothy Ferriss,4.449999999999999
Tina Fey,4.3
Todd Burpo,4.7
Tony Hsieh,4.6
Tucker Carlson,4.8
Veronica Roth,4.4
W. Cleon Skousen,4.8
Walter Isaacson,4.566666666666666
William Davis,4.4
William P. Young,4.6
Wizards RPG Team,4.8
Zhi Gang Sha,4.6
